Guia,Orden de Compra,CCosto
5395669,4200186472,470
5395670,4200186472,442
5395671,4200186472,471
5395691,4200186472,467
5395692,4200186472,472
5395693,4200186472,468
5395695,4200186472,473
5395698,4200186472,484
5395699,4200186472,501
5395700,4200186472,453
5395701,4200186472,439
5395702,4200186472,416
5395703,4200186472,410
5395704,4200186472,516
5395705,4200186472,420
5395706,4200186472,438
5395707,4200186472,450
5395708,4200186472,447
5395709,4200186472,437
5395710,4200186472,494
5395711,4200186472,464
5395712,4200186472,511
5395713,4200186472,460
5395714,4200186472,520
5395715,4200186472,462
5395716,4200186472,466
5395717,4200186472,461
5395718,4200186472,463
5395719,4200186472,459
5395720,4200186472,465
5395721,4200186472,518
5395722,4200186472,449
5395723,4200186472,448
5395724,4200186472,457
5395725,4200186472,446
5395726,4200186472,411
5395751,4200186472,485
5395752,4200186472,418
5395753,4200186472,408
5395756,4200186472,417
5395757,4200186472,483
5395832,4200186472,435
5395835,4200186472,403
5395836,4200186472,513
5395837,4200186472,428
5395838,4200186472,532
5395839,4200186472,433
5395841,4200186472,522
5395842,4200186472,521
5395916,4200186472,413
5395917,4200186472,519
5395918,4200186472,514
5395919,4200186472,412
5395920,4200186472,431
5395921,4200186472,469
5395922,4200186472,409
5395923,4200186472,454
5395924,4200186472,512
5395925,4200186472,405
5395926,4200186472,500
5395927,4200186472,506
5395928,4200186472,415
5395929,4200186472,509
5395930,4200186472,429
5395931,4200186472,430
5395932,4200186472,502
5395934,4200186472,406
5395935,4200186472,440
5395936,4200186472,434
5395938,4200186472,401
5396008,4200186472,414
5396009,4200186472,517
5396017,4200186472,444
5396018,4200186472,503
5396020,4200186472,507
5396022,4200186472,445
5396023,4200186472,404
5396024,4200186472,441
5396025,4200186472,443
5396027,4200186472,426
5396028,4200186472,427
5396029,4200186472,424
5396030,4200186472,402
5396031,4200186472,504
5396032,4200186472,515
5396033,4200186472,508
5396034,4200186472,425
5396223,4200186472,436
5396263,4200186472,455
5397546,4200186472,474
5397547,4200186472,476
5397548,4200186472,475
5397549,4200186472,407
5397550,4200186472,480
5397551,4200186472,478
5397552,4200186472,481
5397553,4200186472,482
5397554,4200186472,479
5403359,4200186472,456
5403410,4200186472,492
5403411,4200186472,524
5402815,4200187569,59
5401507,4200187569,84
5402425,4200187569,87
5401989,4200187569,88
5402015,4200187569,90
5401457,4200187569,92
5401421,4200187569,93
5401377,4200187569,94
5401252,4200187569,95
5401961,4200187569,96
5401422,4200187569,97
5401304,4200187569,100
5401984,4200187569,101
5401253,4200187569,102
5401254,4200187569,103
5402428,4200187569,104
5401167,4200187569,105
5401166,4200187569,106
5401255,4200187569,107
5401302,4200187569,108
5401303,4200187569,109
5401348,4200187569,110
5402564,4200187569,111
5401456,4200187569,112
5401455,4200187569,113
5401199,4200187569,114
5401511,4200187569,115
5401448,4200187569,116
5401966,4200187569,117
5401249,4200187569,119
5402575,4200187569,120
5401986,4200187569,121
5401990,4200187569,122
5402399,4200187569,123
5401326,4200187569,124
5401324,4200187569,125
5401423,4200187569,126
5402586,4200187569,127
5401321,4200187569,128
5401290,4200187569,129
5401983,4200187569,130
5401288,4200187569,131
5402591,4200187569,132
5402891,4200187569,133
5402587,4200187569,134
5401973,4200187569,135
5401395,4200187569,136
5400983,4200187569,137
5402075,4200187569,138
5401248,4200187569,139
5401385,4200187569,140
5403084,4200187569,141
5400657,4200187569,142
5401162,4200187569,143
5401152,4200187569,144
5402860,4200187569,145
5401156,4200187569,146
5402429,4200187569,147
5401262,4200187569,148
5402889,4200187569,150
5401260,4200187569,151
5401982,4200187569,152
5400171,4200187569,153
5400563,4200187569,154
5400658,4200187569,155
5401430,4200187569,156
5401313,4200187569,157
5401434,4200187569,158
5402506,4200187569,159
5401207,4200187569,162
5401205,4200187569,163
5402035,4200187569,164
5401499,4200187569,165
5401206,4200187569,166
5401429,4200187569,167
5402037,4200187569,168
5401509,4200187569,169
5401514,4200187569,170
5401420,4200187569,171
5402810,4200187569,172
5402524,4200187569,173
5402812,4200187569,174
5402807,4200187569,175
5400570,4200187569,176
5401419,4200187569,177
5401222,4200187569,178
5401513,4200187569,180
5401510,4200187569,181
5402095,4200187569,182
5402811,4200187569,183
5402517,4200187569,184
5401963,4200187569,188
5402424,4200187569,193
5401396,4200187569,194
5401204,4200187569,195
5402485,4200187569,196
5401753,4200187569,197
5401981,4200187569,149
5400168,4200187569,709
5396257,4300002731,1565
5396258,4300002731,1542
5396259,4300002731,1505
5396344,4300002731,1604
5396415,4300002731,1540
5396419,4300002731,1534
5396422,4300002731,1562
5396425,4300002731,1569
5396426,4300002731,1528
5396430,4300002731,1567
5396432,4300002731,1559
5396434,4300002731,1568
5396474,4300002731,1554
5396475,4300002731,1584
5396476,4300002731,1546
5396477,4300002731,1547
5396479,4300002731,1544
5396481,4300002731,1585
5396483,4300002731,1538
5396485,4300002731,1599
5396536,4300002731,1583
5396537,4300002731,1607
5396538,4300002731,1501
5396540,4300002731,1587
5396543,4300002731,1580
5396547,4300002731,1591
5396548,4300002731,1579
5396610,4300002731,1577
5396611,4300002731,1532
5396612,4300002731,1560
5396616,4300002731,1606
5396618,4300002731,1511
5396642,4300002731,1603
5396644,4300002731,1592
5396682,4300002731,1573
5396741,4300002731,1506
5396742,4300002731,1502
5396748,4300002731,1578
5396750,4300002731,1536
5396752,4300002731,1518
5396921,4300002731,1514
5396923,4300002731,1543
5396957,4300002731,1593
5396960,4300002731,1594
5397020,4300002731,1500
5397058,4300002731,1548
5397059,4300002731,1512
5397112,4300002731,1516
5397293,4300002731,1563
5397329,4300002731,1605
5397454,4300002731,1597
5397455,4300002731,1582
5397456,4300002731,1517
5397457,4300002731,1576
5397462,4300002731,1596
5397463,4300002731,1595
5397464,4300002731,1581
5397465,4300002731,1510
