Guia,Orden de Compra,CCosto
5394683,420086024,245
5394684,420086024,245
5395352,4200185481,214
5395353,4200185481,214
5394622,4200186916,301
5394623,4200186916,301
5395331,4200186925,302
5395332,4200186925,302
5394653,4200186929,303
5394654,4200186929,303
5400342,4200186938,312
5400343,4200186938,312
5400373,4200186942,325
5400374,4200186942,325
5400264,4200186943,327
5400265,4200186943,327
5400490,4200186945,313
5400491,4200186945,313
5400233,4200186946,314
5400234,4200186946,314
5400149,4200186948,309
5400150,4200186948,309
5400147,4200186950,310
5400148,4200186950,310
5400089,4200186955,306
5400090,4200186955,306
5394663,4200186978,338
5394664,4200186978,338
5394634,4200186980,316
5394635,4200186980,316
5394636,4200186981,333
5394637,4200186981,333
5400189,4200187056,317
5400190,4200187056,317
5398965,4200187057,354
5398966,4200187057,354
5399829,4200187058,324
5399830,4200187058,324
5399930,4200187060,334
5399931,4200187060,334
5399834,4200187063,353
5399835,4200187063,353
5394665,4200187084,345
5394666,4200187084,345
5400371,4200187086,341
5400372,4200187086,341
5394632,4200187093,321
5394633,4200187093,321
5400728,4200187118,305
5400729,4200187118,305
5400454,4200187122,357
5400455,4200187122,357
5400668,4200187127,365
5400669,4200187127,365
5400704,4200187128,367
5400705,4200187128,367
5394923,4200187195,703
5399354,4200187195,703
5399342,4200187203,741
5399913,4200187203,741
5394979,4200187205,708
5394989,4200187205,713
5404020,4200187296,335
5404021,4200187296,335
5394954,4200187301,704
5399355,4200187301,704
5394984,4200187356,718
5399915,4200187356,718
5394529,4200187402,1140
5394540,4200187402,1146
5400267,4200187410,330
5400268,4200187410,330
5404075,4200187588,318
5404076,4200187588,318
5404062,4200187589,320
5404063,4200187589,320
5404054,4200187599,307
5404055,4200187599,307
5404052,4200187603,304
5404053,4200187603,304
5404022,4200187629,322
5404023,4200187629,322
5404673,4200187635,323
5404674,4200187635,323
5400955,4200188123,359
5400956,4200188123,359
5407604,4200185031,2400
5407606,4200185031,2403
