Guia,Orden de Compra,CCosto
5399593,30752452,1513
5394592,30753502,1148
5394589,30753553,1140
5394678,30753576,1124
5394588,30753607,1122
5394649,30754029,1113
5394584,30754254,1123
5394652,30767395,1133
5394662,30767772,300
5399254,30783765,300
5399867,30786060,1141
5399232,30786781,1101
5400261,30792178,1111
5404658,30808136,1142
5394685,4200185479,220
5394686,4200185482,247
5395338,4200185484,254
5395330,4200185620,207
5404194,4200186061,240
5406125,4200186069,246
5406119,4200186074,208
5396579,4200186098,210
5406212,4200186106,237
5406211,4200186149,257
5394587,4200186864,1111
5400262,4200186944,328
5400387,4200186951,331
5394661,4200186970,308
5394394,4200186973,342
5394864,4200186979,350
5394617,4200187035,348
5400128,4200187085,326
5400453,4200187124,300
5400489,4200187125,368
5400545,4200187126,361
5400618,4200187129,364
5400546,4200187130,300
5400549,4200187131,360
5400550,4200187132,363
5394978,4200187185,719
5394922,4200187187,702
5395334,4200187189,716
5394916,4200187190,742
5395015,4200187192,709
5399912,4200187199,722
5395001,4200187202,717
5399346,4200187204,721
5395016,4200187206,710
5394917,4200187207,701
5394986,4200187209,712
5394858,4200187279,701
5394856,4200187282,742
5394857,4200187283,702
5394926,4200187286,705
5394925,4200187287,706
5394927,4200187288,708
5394849,4200187289,712
5394921,4200187291,713
5394920,4200187292,715
5394859,4200187293,738
5394852,4200187294,739
5394955,4200187299,705
5395542,4200187304,726
5394985,4200187307,711
5394953,4200187308,706
5394975,4200187309,715
5394914,4200187311,707
5399340,4200187315,720
5399341,4200187328,739
5394962,4200187333,738
5395543,4200187355,700
5399943,4200187443,719
5399982,4200187444,716
5400175,4200187445,741
5399984,4200187446,722
5399971,4200187449,721
5400164,4200187450,713
5400271,4200187451,710
5400357,4200187452,701
5399976,4200187453,712
5400167,4200187454,705
5399985,4200187455,704
5400273,4200187457,726
5400350,4200187459,711
5400204,4200187461,706
5400269,4200187464,715
5400112,4200187468,700
5399900,4200187469,707
5400275,4200187470,708
5400276,4200187471,739
5400646,4200187472,718
5399334,4200187477,719
5399331,4200187478,716
5399353,4200187480,742
5399219,4200187481,709
5399337,4200187483,722
5399332,4200187484,741
5399333,4200187487,721
5399181,4200187490,713
5399294,4200187492,701
5399213,4200187494,705
5399352,4200187495,704
5399207,4200187498,706
5399182,4200187499,715
5399205,4200187501,707
5399336,4200187507,718
5399335,4200187509,723
5399338,4200187510,720
5399330,4200187511,738
5394957,4200187527,701
5394958,4200187533,742
5394960,4200187538,702
5394669,4200187539,703
5394977,4200187540,705
5394980,4200187541,707
5394981,4200187542,708
5395017,4200187546,709
5395018,4200187548,710
5394959,4200187550,711
5394870,4200187551,712
5394918,4200187558,715
5399347,4200187559,716
5399343,4200187560,717
5399344,4200187561,718
5399345,4200187563,719
5404096,4200187583,355
5404095,4200187584,339
5404094,4200187585,315
5404051,4200187586,319
5404093,4200187587,346
5404084,4200187590,336
5404058,4200187598,332
5404503,4200187614,311
5399284,4200187793,738
5399279,4200187806,739
5399280,4200187815,720
5399200,4200187819,726
5399187,4200187820,700
5399204,4200187828,705
5399217,4200187829,707
5399351,4200187830,718
5399282,4200187832,721
5399202,4200187833,726
5399184,4200187835,708
5399283,4200187836,716
5399281,4200187837,716
5399737,4200188256,300
5400458,4200188350,700
5400711,4200188376,700
5400556,4200188379,700
5405063,4200188575,328
