Guia,Orden de Compra,CCosto
5397908,4200185037,2389
5398440,4200185037,2315
5398460,4200185037,2382
5398464,4200185037,2318
5398465,4200185037,2309
5398749,4200185037,2320
5408613,4200185037,2419
5408742,4200185037,2327
5408612,4200185037,2420
5398794,4200185253,2359
5398859,4200185253,2369
5398912,4200185253,2370
5398913,4200185253,2371
5405010,4200186078,236
5405011,4200186078,236
5406126,4200186078,236
5406127,4200186078,236
5394585,4200186927,1123
5394586,4200186927,1122
5394590,4200186927,1113
5394591,4200186927,1148
5394676,4200186927,1124
5394519,4200187317,1148
5394566,4200187317,1144
5394581,4200187317,1116
5394596,4200187317,1103
5394598,4200187317,1146
5394599,4200187317,1150
5394600,4200187317,1104
5394648,4200187317,1113
5394679,4200187317,1124
5394907,4200187317,1110
